DECO,2018-001,180101-106048,1/2/2018,1/22/2018,n-Propylbenzene,103-65-1,ND,,0.09,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,n-Undecane,1120-21-4,0.27,J,0.17,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,o-Ethyltoluene,611-14-3,ND,,0.19,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,o-Xylene,95-47-6,0.61,J,0.08,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,p-Diethylbenzene,105-05-5,ND,,0.14,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,p-Ethyltoluene,622-96-8,0.47,J,0.18,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,Propane,74-98-6,37.7, ,0.12,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,Propylene,115-07-1,1.21,J,0.09,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,Styrene,100-42-5,ND,,0.07,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,TNMHC  (ppbC),NA,242, ,37.87,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,Toluene,108-88-3,4.58, ,0.18,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,Total PAMS  (ppbC),NA,192, ,1.89,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,trans-2-Butene,624-64-6,ND,,0.1,ppbC
DECO,2018-001,180101-106048,1/2/2018,1/22/2018,trans-2-Pentene,646-04-8,ND,,0.11,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,"1,2,3-Trimethylbenzene",526-73-8,0.38,J,0.06,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,"1,2,4-Trimethylbenzene",95-63-6,1.4,J,0.17,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,"1,3,5-Trimethylbenzene",108-67-8,1.06,J,0.17,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,"1,3-Butadiene",106-99-0,0.47,J,0.07,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,1-Butene,106-98-6,0.51,J,0.11,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,1-Hexene,592-41-6,ND,,0.17,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,1-Pentene,109-67-1,0.23,J,0.13,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,"2,2,4-Trimethylpentane",540-84-1,2.82, ,0.17,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,"2,2-Dimethylbutane",75-83-2,0.95,J,0.15,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,"2,3,4-Trimethylpentane",565-75-3,0.74,J,0.1,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,"2,3-Dimethylbutane",79-29-8,1.5,J,0.19,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,"2,3-Dimethylpentane",565-59-3,1.33,J,0.13,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,"2,4-Dimethylpentane",108-08-7,0.82,J,0.09,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,2-Methylheptane,592-27-8,0.95,J,0.15,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,2-Methylhexane,591-76-4,1.91, ,0.15,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,2-Methylpentane,107-83-5,5.97, ,0.07,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,3-Methylheptane,589-81-1,1.04,J,0.14,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,3-Methylhexane,589-34-4,2.81, ,0.03,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,3-Methylpentane,96-14-0,2.54, ,0.16,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Acetylene,74-86-2,16.4, ,0.05,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,alpha-Pinene,80-56-8,0.46,J,0.05,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Benzene,71-43-2,5.19, ,0.11,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,beta-Pinene,127-91-3,ND,,0.05,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,cis-2-Butene,590-18-1,0.44,J,0.12,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,cis-2-Pentene,627-20-3,0.27,J,0.13,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Cyclohexane,110-82-7,2.35, ,0.11,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Cyclopentane,287-92-3,1.57,J,0.11,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Ethane,74-84-0,142, ,0.11,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Ethylbenzene,100-41-4,1.67,J,0.14,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Ethylene,74-85-1,21.1, ,0.1,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Isobutane,75-28-5,14.5, ,0.16,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Isopentane,78-78-4,18.3, ,0.19,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Isoprene,78-79-5,ND,,0.15,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Isopropylbenzene,98-82-8,ND,,0.18,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,m/p-Xylenes,108-38-3/106-42-3,5.52, ,0.15,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,m-Diethylbenzene,141-93-5,ND,,0.18,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Methylcyclohexane,108-87-2,1.9, ,0.14,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Methylcyclopentane,96-37-7,3.36, ,0.13,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,m-Ethyltoluene,620-14-4,1.19,J,0.12,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,n-Butane,106-97-8,40.1, ,0.11,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,n-Decane,124-18-5,0.68,J,0.1,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,n-Dodecane,112-40-3,0.28,J,0.07,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,n-Heptane,142-82-5,2.9, ,0.14,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,n-Hexane,110-54-3,4.83, ,0.12,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,n-Octane,111-65-9,1.21,J,0.16,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Nonane,111-84-2,0.97,J,0.1,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,n-Pentane,109-66-0,11, ,0.1,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,n-Propylbenzene,103-65-1,ND,,0.09,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,n-Undecane,1120-21-4,0.7,J,0.17,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,o-Ethyltoluene,611-14-3,ND,,0.19,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,o-Xylene,95-47-6,1.61,J,0.08,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,p-Diethylbenzene,105-05-5,ND,,0.14,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,p-Ethyltoluene,622-96-8,1.27,J,0.18,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Propane,74-98-6,42.7, ,0.12,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Propylene,115-07-1,4.61, ,0.09,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Styrene,100-42-5,ND,,0.07,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,TNMHC  (ppbC),NA,503, ,37.92,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Toluene,108-88-3,13.6, ,0.18,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,Total PAMS  (ppbC),NA,391, ,1.9,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,trans-2-Butene,624-64-6,0.61,J,0.1,ppbC
DECO,2018-002,180101-106049,1/8/2018,1/22/2018,trans-2-Pentene,646-04-8,0.44,J,0.11,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,"1,2,3-Trimethylbenzene",526-73-8,ND,,0.06,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,"1,2,4-Trimethylbenzene",95-63-6,ND,,0.16,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,"1,3,5-Trimethylbenzene",108-67-8,0.34,J,0.17,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,"1,3-Butadiene",106-99-0,ND,,0.07,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,1-Butene,106-98-6,ND,,0.11,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,1-Hexene,592-41-6,ND,,0.17,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,1-Pentene,109-67-1,ND,,0.12,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,"2,2,4-Trimethylpentane",540-84-1,0.51,J,0.17,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,"2,2-Dimethylbutane",75-83-2,ND,,0.15,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,"2,3,4-Trimethylpentane",565-75-3,ND,,0.1,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,"2,3-Dimethylbutane",79-29-8,ND,,0.19,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,"2,3-Dimethylpentane",565-59-3,0.38,J,0.13,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,"2,4-Dimethylpentane",108-08-7,ND,,0.09,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,2-Methylheptane,592-27-8,ND,,0.15,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,2-Methylhexane,591-76-4,0.85,J,0.14,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,2-Methylpentane,107-83-5,1.19,J,0.07,ppbC
DECO,2018-003-D1,180101-106050,1/14/2018,1/22/2018,3-Methylheptane,589-81-1,ND,,0.14,ppbC
